id,matches_played,goals_scored,total_yellow_cards,total_red_cards,tournaments_participated,team_id,family_name,given_name,role,matches_managed,matches_officiated,award_name
P-01978,0.0,0.0,0.0,0.0,0,,Stevanović,Dalibor,Midfielder,,,
P-01987,0.0,0.0,0.0,0.0,0,,Torres Nilo,Jorge,Defender,,,
P-01989,0.0,0.0,0.0,0.0,0,,Achá,Alberto,Defender,,,
P-01994,0.0,0.0,0.0,0.0,0,,López,Douglas,Midfielder,,,
P-02005,0.0,0.0,0.0,0.0,0,,Hansen,Mikka,Forward,,,
P-02008,6.0,0.0,0.0,0.0,1,T-31,Pohlmann,Dagmar,Defender,,,
P-02017,1.0,0.0,0.0,0.0,1,T-74,Engqvist,Leif,Midfielder,,,
P-02028,0.0,0.0,0.0,0.0,0,,Ashraf,Ayman,Defender,,,
P-02030,0.0,0.0,0.0,0.0,0,,Cabango,Ben,Defender,,,
P-02042,0.0,0.0,0.0,0.0,0,,Abbes,Claude,Goalkeeper,,,
P-02061,0.0,0.0,0.0,0.0,0,,Ramsey,Alf,Defender,,,
P-02071,1.0,0.0,0.0,0.0,1,T-57,Skóraś,Michał,Midfielder,,,
P-02078,0.0,0.0,0.0,0.0,0,,Giacomazzi,Giovanni,Defender,,,
P-02080,4.0,0.0,0.0,0.0,2,T-16,Mondragón,Faryd,Goalkeeper,,,
P-02091,0.0,1.0,0.0,0.0,1,,Kroon,Knut,Forward,,,
P-02094,1.0,0.0,0.0,0.0,1,T-36,Rab,Tibor,Defender,,,
P-02096,0.0,0.0,0.0,0.0,0,,Zeoli,Javier,Goalkeeper,,,
P-02102,4.0,16.0,4.0,0.0,1,T-72,Byshovets,Anatoliy,Forward,,,
P-02104,0.0,0.0,0.0,0.0,0,,Nef,Adolfo,Goalkeeper,,,
P-02115,0.0,0.0,0.0,0.0,0,,Alvbåge,John,Goalkeeper,,,
P-02130,0.0,0.0,0.0,0.0,0,,Bruey,Stéphane,Forward,,,
P-02141,3.0,0.0,0.0,0.0,1,T-51,Sin,Kum-ok,Defender,,,
P-02163,1.0,0.0,1.0,0.0,1,T-53,Johnsen,Erland,Defender,,,
