match_id,home_team_id,home_team_name,away_team_id,away_team_name,tournament_id,home_team_score,away_team_score
M-1999-15,T-83,United States,T-50,Nigeria,WC-1999,7,1
M-1999-16,T-31,Germany,T-46,Mexico,WC-1999,6,0
M-1999-18,T-14,China,T-04,Australia,WC-1999,3,1
M-1999-21,T-31,Germany,T-09,Brazil,WC-1999,3,3
M-1999-22,T-50,Nigeria,T-22,Denmark,WC-1999,2,0
M-1999-23,T-46,Mexico,T-41,Italy,WC-1999,0,2
M-1999-24,T-83,United States,T-51,North Korea,WC-1999,3,0
M-1999-25,T-14,China,T-62,Russia,WC-1999,2,0
M-1999-27,T-83,United States,T-31,Germany,WC-1999,3,2
M-1999-29,T-83,United States,T-09,Brazil,WC-1999,2,0
M-1999-30,T-53,Norway,T-14,China,WC-1999,0,5
M-1999-31,T-09,Brazil,T-53,Norway,WC-1999,0,0
M-1999-32,T-83,United States,T-14,China,WC-1999,0,0
M-2002-05,T-03,Argentina,T-50,Nigeria,WC-2002,1,0
M-2002-07,T-28,England,T-74,Sweden,WC-2002,1,1
M-2002-09,T-18,Croatia,T-46,Mexico,WC-2002,0,1
M-2002-10,T-09,Brazil,T-80,Turkey,WC-2002,2,1
M-2002-16,T-83,United States,T-58,Portugal,WC-2002,3,2
M-2002-20,T-30,France,T-84,Uruguay,WC-2002,0,0
M-2002-21,T-74,Sweden,T-50,Nigeria,WC-2002,2,1
M-2002-22,T-73,Spain,T-55,Paraguay,WC-2002,3,1
M-2002-23,T-03,Argentina,T-28,England,WC-2002,0,1
M-2002-26,T-09,Brazil,T-14,China,WC-2002,4,0
M-2002-29,T-44,Japan,T-62,Russia,WC-2002,1,0
M-2002-33,T-22,Denmark,T-30,France,WC-2002,2,0
M-2002-37,T-50,Nigeria,T-28,England,WC-2002,0,0
M-2002-38,T-74,Sweden,T-03,Argentina,WC-2002,1,1
M-2002-41,T-17,Costa Rica,T-09,Brazil,WC-2002,2,5
M-2002-44,T-46,Mexico,T-41,Italy,WC-2002,1,1
M-2002-45,T-06,Belgium,T-62,Russia,WC-2002,3,2
M-2002-54,T-09,Brazil,T-06,Belgium,WC-2002,2,0
M-2002-56,T-71,South Korea,T-41,Italy,WC-2002,2,1
M-2002-57,T-28,England,T-09,Brazil,WC-2002,1,2
M-2002-58,T-31,Germany,T-83,United States,WC-2002,1,0
M-2002-59,T-73,Spain,T-71,South Korea,WC-2002,0,0
M-2002-61,T-31,Germany,T-71,South Korea,WC-2002,1,0
M-2002-62,T-09,Brazil,T-80,Turkey,WC-2002,1,0
M-2002-64,T-31,Germany,T-09,Brazil,WC-2002,0,2
M-2003-02,T-50,Nigeria,T-51,North Korea,WC-2003,0,3
M-2003-03,T-31,Germany,T-12,Canada,WC-2003,4,1
M-2003-04,T-44,Japan,T-03,Argentina,WC-2003,6,0
M-2003-05,T-83,United States,T-74,Sweden,WC-2003,3,1
M-2003-06,T-09,Brazil,T-71,South Korea,WC-2003,3,0
M-2003-08,T-14,China,T-32,Ghana,WC-2003,1,0
M-2003-09,T-53,Norway,T-09,Brazil,WC-2003,1,4
M-2003-10,T-31,Germany,T-44,Japan,WC-2003,3,0
M-2003-11,T-30,France,T-71,South Korea,WC-2003,1,0
M-2003-14,T-74,Sweden,T-51,North Korea,WC-2003,1,0
M-2003-15,T-14,China,T-04,Australia,WC-2003,1,1
M-2003-16,T-83,United States,T-50,Nigeria,WC-2003,5,0
M-2003-17,T-30,France,T-09,Brazil,WC-2003,1,1
M-2003-18,T-71,South Korea,T-53,Norway,WC-2003,1,7
M-2003-19,T-03,Argentina,T-31,Germany,WC-2003,1,6
M-2003-21,T-74,Sweden,T-50,Nigeria,WC-2003,3,0
M-2003-22,T-51,North Korea,T-83,United States,WC-2003,0,3
M-2003-23,T-32,Ghana,T-04,Australia,WC-2003,2,1
M-2003-24,T-14,China,T-62,Russia,WC-2003,1,0
M-2003-25,T-09,Brazil,T-74,Sweden,WC-2003,1,2
M-2003-26,T-83,United States,T-53,Norway,WC-2003,1,0
M-2003-29,T-83,United States,T-31,Germany,WC-2003,0,3
M-2003-30,T-74,Sweden,T-12,Canada,WC-2003,2,1
M-2003-32,T-31,Germany,T-74,Sweden,WC-2003,2,1
M-2006-03,T-28,England,T-55,Paraguay,WC-2006,1,0
M-2006-09,T-04,Australia,T-44,Japan,WC-2006,3,1
M-2006-14,T-09,Brazil,T-18,Croatia,WC-2006,1,0
M-2006-20,T-74,Sweden,T-55,Paraguay,WC-2006,1,0
M-2006-26,T-41,Italy,T-83,United States,WC-2006,1,1
M-2006-27,T-44,Japan,T-18,Croatia,WC-2006,0,0
M-2006-28,T-09,Brazil,T-04,Australia,WC-2006,2,0
M-2006-29,T-30,France,T-71,South Korea,WC-2006,1,1
M-2006-36,T-74,Sweden,T-28,England,WC-2006,2,2
M-2006-40,T-48,Netherlands,T-03,Argentina,WC-2006,0,0
M-2006-42,T-32,Ghana,T-83,United States,WC-2006,2,1
M-2006-44,T-44,Japan,T-09,Brazil,WC-2006,1,4
M-2006-49,T-31,Germany,T-74,Sweden,WC-2006,2,0
M-2006-50,T-03,Argentina,T-46,Mexico,WC-2006,2,1
M-2006-57,T-31,Germany,T-03,Argentina,WC-2006,1,1
M-2006-59,T-28,England,T-58,Portugal,WC-2006,0,0
M-2006-60,T-09,Brazil,T-30,France,WC-2006,0,1
M-2006-61,T-31,Germany,T-41,Italy,WC-2006,0,2
M-2006-63,T-31,Germany,T-58,Portugal,WC-2006,3,1
M-2006-64,T-41,Italy,T-30,France,WC-2006,1,1
M-2007-01,T-31,Germany,T-03,Argentina,WC-2007,11,0
M-2007-02,T-83,United States,T-51,North Korea,WC-2007,2,2
M-2007-03,T-44,Japan,T-28,England,WC-2007,2,2
M-2007-04,T-50,Nigeria,T-74,Sweden,WC-2007,1,1
M-2007-05,T-32,Ghana,T-04,Australia,WC-2007,1,4
M-2007-07,T-53,Norway,T-12,Canada,WC-2007,2,1
M-2007-08,T-14,China,T-22,Denmark,WC-2007,3,2
M-2007-09,T-03,Argentina,T-44,Japan,WC-2007,0,1
M-2007-10,T-74,Sweden,T-83,United States,WC-2007,0,2
